A-k

QoS,BE
SRC, DST, CEPID,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,1,,23373,2555,10.9314,,0,123.853,172
2,1,1,,23665,2703,11.4219,,0,127.482,175
QoS,BE

QoS,GU
SRC, DST, CEPID,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,1,,817,0,0,,0,0.902081,6
2,1,1,,792,0,0,,0,0.849747,8
QoS,GU

QoS,SN
SRC, DST, CEPID,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,1,,3069,0,0,,0,126.024,169
2,1,1,,3062,0,0,,0,128.35,176
QoS,SN

QoS,sBE
SRC, DST, CEPID,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,1,,11716,701,5.98327,,0,0.864911,7
2,1,1,,11796,811,6.87521,,0,0.856623,8
QoS,sBE

