A-k

QoS,,RCV, DROP, DROP %,,AVG PK W, MAX PK W,,DIST PK WT:,0,1,2,3,4,5,6,7,8,9,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000
BE,,47038,5258,11.18,,125.7,175,,BE,58,46,40,36,42,5,21,39,40,37,11,114,102,80,163,267,170,234,440,685,39150
GU,,1609,0,0,,0.876,8,,GU,758,487,226,99,28,7,2,1,1,0
SN,,6131,0,0,,127.2,176,,SN,4,2,5,6,6,3,1,1,4,6,0,23,10,13,22,38,19,36,61,81,5790
sBE,,23512,1512,6.43,,0.861,8,,sBE,10552,6489,3165,1250,398,110,27,8,1,0


QoS,,RCV, DROP, DROP %,,AVG PK W, MAX PK W,,DIST PK WT:,0,10,50,100,500,1000,2000,3000,4000,5000
BE,,47038,5258,11.18,,125.7,175,,BE,58,317,459,1796,39150
GU,,1609,0,0,,0.876,8,,GU,758,851
SN,,6131,0,0,,127.2,176,,SN,4,34,68,235,5790
sBE,,23512,1512,6.43,,0.861,8,,sBE,10552,11448
