A-k

QoS,BE
SRC, DST,,SEND, DROP, DROP %,, DROPs,1,2
3,5,,1250,0,0,,,0,0
3,6,,1297,0,0,,,0,0
3,7,,1296,0,0,,,0,0
3,8,,1261,0,0,,,0,0
3,9,,1233,0,0,,,0,0
4,1,,1220,0,0,,,0,0
4,2,,1140,0,0,,,0,0
4,3,,1264,0,0,,,0,0
4,5,,1265,0,0,,,0,0
4,6,,1237,0,0,,,0,0
4,7,,1226,0,0,,,0,0
4,8,,1256,0,0,,,0,0
4,9,,1318,0,0,,,0,0
5,1,,1264,0,0,,,0,0
5,2,,1195,0,0,,,0,0
5,3,,1248,0,0,,,0,0
5,4,,1247,0,0,,,0,0
5,6,,1205,0,0,,,0,0
5,7,,1176,0,0,,,0,0
5,8,,1252,0,0,,,0,0
5,9,,1284,0,0,,,0,0
6,1,,1283,0,0,,,0,0
6,2,,1244,0,0,,,0,0
6,3,,1290,0,0,,,0,0
6,4,,1261,0,0,,,0,0
6,5,,1226,0,0,,,0,0
6,7,,1280,0,0,,,0,0
6,8,,1279,0,0,,,0,0
6,9,,1255,0,0,,,0,0
7,1,,1258,0,0,,,0,0
7,2,,1215,0,0,,,0,0
7,3,,1231,0,0,,,0,0
7,4,,1233,0,0,,,0,0
7,5,,1211,0,0,,,0,0
7,6,,1209,0,0,,,0,0
7,8,,1288,0,0,,,0,0
7,9,,1261,0,0,,,0,0
8,1,,1289,0,0,,,0,0
8,2,,1165,0,0,,,0,0
8,3,,1234,0,0,,,0,0
8,4,,1224,0,0,,,0,0
8,5,,1251,0,0,,,0,0
8,6,,1234,0,0,,,0,0
8,7,,1266,0,0,,,0,0
8,9,,1264,0,0,,,0,0
9,1,,1268,0,0,,,0,0
9,2,,1242,0,0,,,0,0
9,3,,1250,0,0,,,0,0
9,4,,1244,0,0,,,0,0
9,5,,1230,0,0,,,0,0
9,6,,1222,0,0,,,0,0
9,7,,1173,0,0,,,0,0
9,8,,1253,0,0,,,0,0
QoS,sBE
SRC, DST,,SEND, DROP, DROP %,, DROPs,1,2
1,2,,852,3,0.352113,,,3,0
1,3,,860,5,0.581395,,,4,0
1,4,,784,6,0.765306,,,6,0
1,5,,827,9,1.08827,,,5,0
1,6,,828,5,0.603865,,,3,0
1,7,,812,4,0.492611,,,2,0
1,8,,805,4,0.496894,,,2,0
1,9,,880,4,0.454545,,,2,0
2,1,,857,6,0.700117,,,6,0
2,3,,835,0,0,,,0,0
2,4,,843,2,0.237248,,,2,0
2,5,,809,2,0.247219,,,1,0
2,6,,793,4,0.504414,,,4,0
2,7,,849,11,1.29564,,,7,0
2,8,,824,9,1.09223,,,6,0
2,9,,825,6,0.727273,,,5,0
3,1,,810,11,1.35802,,,8,0
3,2,,787,3,0.381194,,,0,0
3,4,,860,0,0,,,0,0
3,5,,777,4,0.514801,,,2,0
3,6,,888,3,0.337838,,,2,0
3,7,,788,3,0.380711,,,2,0
3,8,,838,9,1.07399,,,6,0
3,9,,849,7,0.824499,,,4,0
4,1,,767,6,0.782269,,,4,0
4,2,,815,6,0.736196,,,3,0
4,3,,784,3,0.382653,,,3,0
4,5,,863,2,0.23175,,,0,0
4,6,,869,3,0.345224,,,0,0
4,7,,859,4,0.465658,,,3,0
4,8,,812,2,0.246305,,,2,0
4,9,,866,12,1.38568,,,7,0
5,1,,863,5,0.579374,,,2,0
5,2,,851,5,0.587544,,,3,0
5,3,,834,1,0.119904,,,1,0
5,4,,825,0,0,,,0,0
5,6,,781,0,0,,,0,0
5,7,,859,1,0.116414,,,1,0
5,8,,828,3,0.362319,,,3,0
5,9,,852,6,0.704225,,,6,0
6,1,,844,7,0.829384,,,6,0
6,2,,823,3,0.36452,,,1,0
6,3,,808,4,0.49505,,,3,0
6,4,,860,0,0,,,0,0
6,5,,858,0,0,,,0,0
6,7,,814,0,0,,,0,0
6,8,,821,3,0.365408,,,3,0
6,9,,837,3,0.358423,,,1,0
7,1,,811,2,0.246609,,,2,0
