A-dq

QoS,BE
SRC, DST, CEPID,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,71,,1,0,0,,1.00633,1.00633,1.00633,,9.22337e+09,-nan,0
1,2,72,,1,0,0,,1.00286,1.00286,1.00286,,9.22337e+09,-nan,0
1,2,73,,1,0,0,,1.02325,1.02325,1.02325,,9.22337e+09,-nan,0
1,2,74,,1,0,0,,1.02057,1.02057,1.02057,,9.22337e+09,-nan,0
1,2,75,,1,0,0,,1.01516,1.01516,1.01516,,9.22337e+09,-nan,0
1,2,76,,1,0,0,,1.01322,1.01322,1.01322,,9.22337e+09,-nan,0
1,2,77,,1,0,0,,1.01093,1.01093,1.01093,,9.22337e+09,-nan,0
1,2,78,,1,0,0,,1.00557,1.00557,1.00557,,9.22337e+09,-nan,0
1,2,79,,1,0,0,,1.00722,1.00722,1.00722,,9.22337e+09,-nan,0
1,2,80,,1,0,0,,1.01974,1.01974,1.01974,,9.22337e+09,-nan,0
1,2,81,,1,0,0,,1.0257,1.0257,1.0257,,9.22337e+09,-nan,0
1,2,82,,1,0,0,,1.02575,1.02575,1.02575,,9.22337e+09,-nan,0
1,2,83,,1,0,0,,1.02853,1.02853,1.02853,,9.22337e+09,-nan,0
1,2,84,,1,0,0,,1.03182,1.03182,1.03182,,9.22337e+09,-nan,0
1,2,85,,1,0,0,,1.01418,1.01418,1.01418,,9.22337e+09,-nan,0
1,2,86,,1,0,0,,1.02138,1.02138,1.02138,,9.22337e+09,-nan,0
1,2,87,,1,0,0,,1.0139,1.0139,1.0139,,9.22337e+09,-nan,0
1,2,88,,1,0,0,,1.00679,1.00679,1.00679,,9.22337e+09,-nan,0
1,2,89,,1,0,0,,1.00361,1.00361,1.00361,,9.22337e+09,-nan,0
1,2,90,,1,0,0,,1.00962,1.00962,1.00962,,9.22337e+09,-nan,0
1,2,91,,1,0,0,,1.0087,1.0087,1.0087,,9.22337e+09,-nan,0
1,2,92,,1,0,0,,1.00497,1.00497,1.00497,,9.22337e+09,-nan,0
1,2,93,,1,0,0,,1.00409,1.00409,1.00409,,9.22337e+09,-nan,0
1,2,94,,1,0,0,,1.00522,1.00522,1.00522,,9.22337e+09,-nan,0
1,2,95,,1,0,0,,1.00865,1.00865,1.00865,,9.22337e+09,-nan,0
1,2,96,,1,0,0,,1.01388,1.01388,1.01388,,9.22337e+09,-nan,0
1,2,97,,1,0,0,,1.01465,1.01465,1.01465,,9.22337e+09,-nan,0
1,2,98,,1,0,0,,1.00461,1.00461,1.00461,,9.22337e+09,-nan,0
1,2,99,,1,0,0,,1.00895,1.00895,1.00895,,9.22337e+09,-nan,0
1,2,100,,1,0,0,,1.03113,1.03113,1.03113,,9.22337e+09,-nan,0
1,2,101,,1,0,0,,1.03349,1.03349,1.03349,,9.22337e+09,-nan,0
1,2,102,,1,0,0,,1.03562,1.03562,1.03562,,9.22337e+09,-nan,0
1,2,103,,1,0,0,,1.05427,1.05427,1.05427,,9.22337e+09,-nan,0
1,2,104,,1,0,0,,1.05373,1.05373,1.05373,,9.22337e+09,-nan,0
1,2,105,,1,0,0,,1.06525,1.06525,1.06525,,9.22337e+09,-nan,0
1,2,106,,1,0,0,,1.0743,1.0743,1.0743,,9.22337e+09,-nan,0
1,2,107,,1,0,0,,1.07259,1.07259,1.07259,,9.22337e+09,-nan,0
1,2,108,,1,0,0,,1.10157,1.10157,1.10157,,9.22337e+09,-nan,0
1,2,109,,1,0,0,,1.09219,1.09219,1.09219,,9.22337e+09,-nan,0
1,2,110,,1,0,0,,1.12109,1.12109,1.12109,,9.22337e+09,-nan,0
1,2,111,,1,0,0,,1.0953,1.0953,1.0953,,9.22337e+09,-nan,0
1,2,112,,1,0,0,,1.07002,1.07002,1.07002,,9.22337e+09,-nan,0
1,2,113,,1,0,0,,1.09485,1.09485,1.09485,,9.22337e+09,-nan,0
1,2,114,,1,0,0,,1.07553,1.07553,1.07553,,9.22337e+09,-nan,0
1,2,115,,1,0,0,,1.07432,1.07432,1.07432,,9.22337e+09,-nan,0
1,2,116,,1,0,0,,1.07777,1.07777,1.07777,,9.22337e+09,-nan,0
1,2,117,,1,0,0,,1.08007,1.08007,1.08007,,9.22337e+09,-nan,0
1,2,118,,1,0,0,,1.0781,1.0781,1.0781,,9.22337e+09,-nan,0
1,2,119,,1,0,0,,1.08541,1.08541,1.08541,,9.22337e+09,-nan,0
1,2,120,,1,0,0,,1.07854,1.07854,1.07854,,9.22337e+09,-nan,0
1,2,121,,1,0,0,,1.07255,1.07255,1.07255,,9.22337e+09,-nan,0
1,2,122,,1,0,0,,1.07453,1.07453,1.07453,,9.22337e+09,-nan,0
1,2,123,,1,0,0,,1.07107,1.07107,1.07107,,9.22337e+09,-nan,0
1,2,124,,1,0,0,,1.05457,1.05457,1.05457,,9.22337e+09,-nan,0
1,2,125,,1,0,0,,1.05741,1.05741,1.05741,,9.22337e+09,-nan,0
1,2,126,,1,0,0,,1.06601,1.06601,1.06601,,9.22337e+09,-nan,0
1,2,127,,1,0,0,,1.07348,1.07348,1.07348,,9.22337e+09,-nan,0
1,2,128,,1,0,0,,1.08702,1.08702,1.08702,,9.22337e+09,-nan,0
1,2,129,,1,0,0,,1.07993,1.07993,1.07993,,9.22337e+09,-nan,0
