

QoS,BE
SRC, DST, CEPID,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,71,,1,0,0,,1.00219,1.00219,1.00219,,9.22337e+09,-nan,0
1,2,72,,1,0,0,,1.00173,1.00173,1.00173,,9.22337e+09,-nan,0
1,2,73,,1,0,0,,1.00256,1.00256,1.00256,,9.22337e+09,-nan,0
1,2,74,,1,0,0,,1.00308,1.00308,1.00308,,9.22337e+09,-nan,0
1,2,75,,1,0,0,,1.00223,1.00223,1.00223,,9.22337e+09,-nan,0
1,2,76,,1,0,0,,1.00221,1.00221,1.00221,,9.22337e+09,-nan,0
1,2,77,,1,0,0,,1.00353,1.00353,1.00353,,9.22337e+09,-nan,0
1,2,78,,1,0,0,,1.00264,1.00264,1.00264,,9.22337e+09,-nan,0
1,2,79,,1,0,0,,1.00289,1.00289,1.00289,,9.22337e+09,-nan,0
1,2,80,,1,0,0,,1.00339,1.00339,1.00339,,9.22337e+09,-nan,0
1,2,81,,1,0,0,,1.00259,1.00259,1.00259,,9.22337e+09,-nan,0
1,2,82,,1,0,0,,1.00207,1.00207,1.00207,,9.22337e+09,-nan,0
1,2,83,,1,0,0,,1.0031,1.0031,1.0031,,9.22337e+09,-nan,0
1,2,84,,1,0,0,,1.00337,1.00337,1.00337,,9.22337e+09,-nan,0
1,2,85,,1,0,0,,1.00128,1.00128,1.00128,,9.22337e+09,-nan,0
1,2,86,,1,0,0,,1.00236,1.00236,1.00236,,9.22337e+09,-nan,0
1,2,87,,1,0,0,,1.00328,1.00328,1.00328,,9.22337e+09,-nan,0
1,2,88,,1,0,0,,1.00161,1.00161,1.00161,,9.22337e+09,-nan,0
1,2,89,,1,0,0,,1.00193,1.00193,1.00193,,9.22337e+09,-nan,0
1,2,90,,1,0,0,,1.00217,1.00217,1.00217,,9.22337e+09,-nan,0
1,2,91,,1,0,0,,1.00248,1.00248,1.00248,,9.22337e+09,-nan,0
1,2,92,,1,0,0,,1.00121,1.00121,1.00121,,9.22337e+09,-nan,0
1,2,93,,1,0,0,,1.0017,1.0017,1.0017,,9.22337e+09,-nan,0
