

QoS,BE
SRC, DST,,SEND, DROP, DROP %,, DROPs
3,5,,73,0,0,,
3,6,,84,0,0,,
3,7,,91,0,0,,
3,8,,89,0,0,,
3,9,,81,0,0,,
4,1,,86,0,0,,
4,2,,87,0,0,,
4,3,,92,0,0,,
4,5,,88,0,0,,
4,6,,88,0,0,,
4,7,,98,0,0,,
4,8,,86,0,0,,
4,9,,83,0,0,,
5,1,,68,0,0,,
5,2,,91,0,0,,
5,3,,95,0,0,,
5,4,,87,0,0,,
5,6,,73,0,0,,
5,7,,100,0,0,,
5,8,,98,0,0,,
5,9,,85,0,0,,
6,1,,84,0,0,,
6,2,,93,0,0,,
6,3,,84,0,0,,
6,4,,74,0,0,,
6,5,,74,0,0,,
6,7,,78,0,0,,
6,8,,88,0,0,,
6,9,,68,0,0,,
7,1,,79,0,0,,
7,2,,88,0,0,,
7,3,,78,0,0,,
7,4,,76,0,0,,
7,5,,76,0,0,,
7,6,,94,0,0,,
7,8,,73,0,0,,
7,9,,76,0,0,,
8,1,,62,0,0,,
8,2,,79,0,0,,
8,3,,86,0,0,,
8,4,,96,0,0,,
8,5,,86,0,0,,
8,6,,74,0,0,,
8,7,,94,0,0,,
8,9,,71,0,0,,
9,1,,80,0,0,,
9,2,,77,0,0,,
9,3,,63,0,0,,
9,4,,92,0,0,,
9,5,,88,0,0,,
9,6,,74,0,0,,
9,7,,77,0,0,,
9,8,,70,0,0,,
