

QoS,BE
SRC, DST,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,,54,0,0,,1.00128,1.00265,1.01368,,9.22337e+09,-nan,0
1,3,,46,0,0,,2.00299,2.00686,2.03326,,9.22337e+09,-nan,0
1,4,,44,0,0,,3.0039,3.00834,3.03958,,9.22337e+09,-nan,0
1,5,,37,0,0,,4.00484,4.01201,4.05881,,9.22337e+09,-nan,0
1,6,,48,0,0,,4.00531,4.01131,4.05734,,9.22337e+09,-nan,0
1,7,,42,0,0,,3.00448,3.00885,3.03978,,9.22337e+09,-nan,0
1,8,,45,0,0,,2.00255,2.0053,2.01493,,9.22337e+09,-nan,0
1,9,,40,0,0,,1.00122,1.00307,1.02204,,9.22337e+09,-nan,0
2,1,,44,0,0,,1.00127,1.00299,1.02239,,9.22337e+09,-nan,0
2,3,,42,0,0,,1.00125,1.00259,1.00472,,9.22337e+09,-nan,0
2,4,,41,0,0,,2.00278,2.00566,2.02596,,9.22337e+09,-nan,0
2,5,,48,0,0,,3.00367,3.00898,3.05829,,9.22337e+09,-nan,0
2,6,,46,0,0,,4.00498,4.01176,4.0754,,9.22337e+09,-nan,0
2,7,,35,0,0,,4.00643,4.01193,4.05912,,9.22337e+09,-nan,0
2,8,,33,0,0,,3.00378,3.00826,3.04632,,9.22337e+09,-nan,0
2,9,,45,0,0,,2.00256,2.00598,2.03219,,9.22337e+09,-nan,0
3,1,,50,0,0,,2.0025,2.00523,2.03238,,9.22337e+09,-nan,0
3,2,,43,0,0,,1.00138,1.0029,1.00774,,9.22337e+09,-nan,0
3,4,,44,0,0,,1.00123,1.00267,1.00595,,9.22337e+09,-nan,0
3,5,,38,0,0,,2.00264,2.00596,2.0376,,9.22337e+09,-nan,0
3,6,,52,0,0,,3.00369,3.00916,3.05606,,9.22337e+09,-nan,0
3,7,,27,0,0,,4.00553,4.01119,4.03976,,9.22337e+09,-nan,0
3,8,,29,0,0,,4.0059,4.01026,4.01847,,9.22337e+09,-nan,0
3,9,,46,0,0,,3.00369,3.00835,3.05721,,9.22337e+09,-nan,0
4,1,,49,0,0,,3.00404,3.0087,3.05337,,9.22337e+09,-nan,0
4,2,,44,0,0,,2.00243,2.00563,2.03743,,9.22337e+09,-nan,0
4,3,,34,0,0,,1.0013,1.00296,1.00893,,9.22337e+09,-nan,0
4,5,,38,0,0,,1.0013,1.00255,1.00493,,9.22337e+09,-nan,0
4,6,,40,0,0,,2.00273,2.00569,2.03457,,9.22337e+09,-nan,0
4,7,,48,0,0,,3.00378,3.00828,3.04303,,9.22337e+09,-nan,0
4,8,,46,0,0,,4.00486,4.01159,4.05983,,9.22337e+09,-nan,0
4,9,,43,0,0,,4.00492,4.01067,4.06828,,9.22337e+09,-nan,0
5,1,,46,0,0,,4.00495,4.01022,4.06125,,9.22337e+09,-nan,0
5,2,,30,0,0,,3.00367,3.00888,3.04423,,9.22337e+09,-nan,0
5,3,,49,0,0,,2.00273,2.00528,2.01264,,9.22337e+09,-nan,0
5,4,,37,0,0,,1.00127,1.00281,1.01854,,9.22337e+09,-nan,0
5,6,,44,0,0,,1.00125,1.00261,1.00541,,9.22337e+09,-nan,0
5,7,,34,0,0,,2.00253,2.00538,2.01904,,9.22337e+09,-nan,0
5,8,,42,0,0,,3.00374,3.00825,3.01245,,9.22337e+09,-nan,0
5,9,,42,0,0,,4.00494,4.01156,4.05486,,9.22337e+09,-nan,0
6,1,,43,0,0,,4.00614,4.01175,4.05153,,9.22337e+09,-nan,0
6,2,,44,0,0,,4.00552,4.01134,4.05062,,9.22337e+09,-nan,0
6,3,,35,0,0,,3.00375,3.0093,3.05081,,9.22337e+09,-nan,0
6,4,,33,0,0,,2.00292,2.00587,2.02664,,9.22337e+09,-nan,0
6,5,,39,0,0,,1.00126,1.00279,1.01284,,9.22337e+09,-nan,0
6,7,,51,0,0,,1.00122,1.00256,1.01023,,9.22337e+09,-nan,0
6,8,,42,0,0,,2.00272,2.00559,2.02955,,9.22337e+09,-nan,0
6,9,,36,0,0,,3.00374,3.00787,3.01605,,9.22337e+09,-nan,0
7,1,,54,0,0,,3.00367,3.00847,3.05245,,9.22337e+09,-nan,0
7,2,,44,0,0,,4.005,4.01126,4.06309,,9.22337e+09,-nan,0
7,3,,49,0,0,,4.0051,4.01117,4.05658,,9.22337e+09,-nan,0
7,4,,38,0,0,,3.00373,3.00804,3.03911,,9.22337e+09,-nan,0
7,5,,37,0,0,,2.0025,2.00603,2.03683,,9.22337e+09,-nan,0
7,6,,45,0,0,,1.00124,1.00258,1.00845,,9.22337e+09,-nan,0
7,8,,38,0,0,,1.00132,1.0027,1.0177,,9.22337e+09,-nan,0
7,9,,42,0,0,,2.00255,2.00584,2.03258,,9.22337e+09,-nan,0
8,1,,37,0,0,,2.0028,2.00568,2.01918,,9.22337e+09,-nan,0
8,2,,32,0,0,,3.0038,3.00893,3.05326,,9.22337e+09,-nan,0
8,3,,41,0,0,,4.00503,4.01166,4.07366,,9.22337e+09,-nan,0
8,4,,36,0,0,,4.0067,4.01227,4.06117,,9.22337e+09,-nan,0
8,5,,42,0,0,,3.00386,3.0081,3.04932,,9.22337e+09,-nan,0
8,6,,43,0,0,,2.00252,2.00568,2.03143,,9.22337e+09,-nan,0
8,7,,46,0,0,,1.00126,1.00276,1.00686,,9.22337e+09,-nan,0
8,9,,28,0,0,,1.00123,1.00336,1.01862,,9.22337e+09,-nan,0
9,1,,40,0,0,,1.00132,1.00305,1.01289,,9.22337e+09,-nan,0
9,2,,52,0,0,,2.00256,2.00621,2.04481,,9.22337e+09,-nan,0
9,3,,49,0,0,,3.00365,3.00883,3.04923,,9.22337e+09,-nan,0
9,4,,48,0,0,,4.00526,4.01042,4.04554,,9.22337e+09,-nan,0
9,5,,38,0,0,,4.00494,4.0112,4.05485,,9.22337e+09,-nan,0
9,6,,48,0,0,,3.00372,3.00878,3.05401,,9.22337e+09,-nan,0
9,7,,47,0,0,,2.00301,2.00593,2.03363,,9.22337e+09,-nan,0
9,8,,32,0,0,,1.00123,1.00245,1.00535,,9.22337e+09,-nan,0
QoS,SN
SRC, DST,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,,122,0,0,,1.00122,1.00279,1.03341,,9.22337e+09,-nan,0
1,3,,138,0,0,,2.00244,2.00522,2.06499,,9.22337e+09,-nan,0
1,4,,117,0,0,,3.00374,3.00829,3.07001,,9.22337e+09,-nan,0
1,5,,123,0,0,,4.00492,4.01118,4.08053,,9.22337e+09,-nan,0
1,6,,125,0,0,,4.00516,4.01044,4.07967,,9.22337e+09,-nan,0
1,7,,127,0,0,,3.00382,3.00821,3.07331,,9.22337e+09,-nan,0
1,8,,92,0,0,,2.0025,2.00579,2.06564,,9.22337e+09,-nan,0
1,9,,124,0,0,,1.00122,1.00307,1.0438,,9.22337e+09,-nan,0
2,1,,117,0,0,,1.00121,1.003,1.05014,,9.22337e+09,-nan,0
2,3,,122,0,0,,1.00126,1.00247,1.00611,,9.22337e+09,-nan,0
2,4,,134,0,0,,2.00244,2.00518,2.03038,,9.22337e+09,-nan,0
2,5,,131,0,0,,3.00365,3.00825,3.08302,,9.22337e+09,-nan,0
2,6,,133,0,0,,4.00498,4.01061,4.07757,,9.22337e+09,-nan,0
2,7,,124,0,0,,4.00501,4.01061,4.08147,,9.22337e+09,-nan,0
2,8,,141,0,0,,3.00371,3.00777,3.08235,,9.22337e+09,-nan,0
2,9,,135,0,0,,2.00244,2.00534,2.0258,,9.22337e+09,-nan,0
3,1,,115,0,0,,2.00246,2.00544,2.05854,,9.22337e+09,-nan,0
3,2,,130,0,0,,1.00121,1.00266,1.03015,,9.22337e+09,-nan,0
3,4,,118,0,0,,1.00122,1.00273,1.00641,,9.22337e+09,-nan,0
3,5,,115,0,0,,2.00245,2.0055,2.02978,,9.22337e+09,-nan,0
3,6,,118,0,0,,3.00373,3.00821,3.06031,,9.22337e+09,-nan,0
3,7,,122,0,0,,4.00494,4.01093,4.07916,,9.22337e+09,-nan,0
3,8,,131,0,0,,4.00484,4.01052,4.08177,,9.22337e+09,-nan,0
3,9,,134,0,0,,3.0037,3.00831,3.07607,,9.22337e+09,-nan,0
4,1,,84,0,0,,3.00364,3.00873,3.08927,,9.22337e+09,-nan,0
4,2,,109,0,0,,2.00245,2.00536,2.07043,,9.22337e+09,-nan,0
4,3,,113,0,0,,1.00124,1.00281,1.02118,,9.22337e+09,-nan,0
4,5,,130,0,0,,1.00125,1.00256,1.00598,,9.22337e+09,-nan,0
4,6,,143,0,0,,2.00244,2.00542,2.05101,,9.22337e+09,-nan,0
4,7,,104,0,0,,3.00365,3.00796,3.05962,,9.22337e+09,-nan,0
4,8,,131,0,0,,4.00489,4.01063,4.07448,,9.22337e+09,-nan,0
4,9,,97,0,0,,4.00491,4.01043,4.0188,,9.22337e+09,-nan,0
5,1,,131,0,0,,4.00529,4.01076,4.09159,,9.22337e+09,-nan,0
5,2,,111,0,0,,3.00377,3.00846,3.07684,,9.22337e+09,-nan,0
5,3,,123,0,0,,2.00248,2.00524,2.03803,,9.22337e+09,-nan,0
5,4,,119,0,0,,1.00121,1.00262,1.01157,,9.22337e+09,-nan,0
5,6,,131,0,0,,1.00121,1.00274,1.02274,,9.22337e+09,-nan,0
5,7,,121,0,0,,2.00249,2.00518,2.0277,,9.22337e+09,-nan,0
5,8,,127,0,0,,3.0037,3.00829,3.06339,,9.22337e+09,-nan,0
5,9,,124,0,0,,4.00498,4.01126,4.08561,,9.22337e+09,-nan,0
6,1,,123,0,0,,4.00511,4.01082,4.07898,,9.22337e+09,-nan,0
6,2,,90,0,0,,4.005,4.01062,4.07968,,9.22337e+09,-nan,0
6,3,,110,0,0,,3.00368,3.00912,3.07847,,9.22337e+09,-nan,0
6,4,,130,0,0,,2.00254,2.00553,2.0569,,9.22337e+09,-nan,0
6,5,,118,0,0,,1.00125,1.00288,1.05074,,9.22337e+09,-nan,0
6,7,,130,0,0,,1.00125,1.00289,1.04051,,9.22337e+09,-nan,0
6,8,,116,0,0,,2.00242,2.00559,2.06001,,9.22337e+09,-nan,0
6,9,,120,0,0,,3.00364,3.00811,3.08017,,9.22337e+09,-nan,0
7,1,,121,0,0,,3.00367,3.00791,3.07576,,9.22337e+09,-nan,0
7,2,,117,0,0,,4.00512,4.01062,4.08573,,9.22337e+09,-nan,0
7,3,,95,0,0,,4.00486,4.01081,4.07539,,9.22337e+09,-nan,0
7,4,,112,0,0,,3.00365,3.00837,3.05419,,9.22337e+09,-nan,0
7,5,,132,0,0,,2.00243,2.00554,2.0716,,9.22337e+09,-nan,0
7,6,,135,0,0,,1.00122,1.0025,1.00767,,9.22337e+09,-nan,0
7,8,,128,0,0,,1.00121,1.00261,1.0057,,9.22337e+09,-nan,0
7,9,,135,0,0,,2.00244,2.00547,2.06765,,9.22337e+09,-nan,0
8,1,,140,0,0,,2.00243,2.00532,2.06204,,9.22337e+09,-nan,0
8,2,,146,0,0,,3.00363,3.00766,3.07462,,9.22337e+09,-nan,0
8,3,,129,0,0,,4.00504,4.01069,4.08265,,9.22337e+09,-nan,0
8,4,,138,0,0,,4.00485,4.01067,4.08146,,9.22337e+09,-nan,0
8,5,,113,0,0,,3.00364,3.00856,3.07841,,9.22337e+09,-nan,0
8,6,,137,0,0,,2.00242,2.00537,2.05431,,9.22337e+09,-nan,0
8,7,,121,0,0,,1.00123,1.00255,1.00631,,9.22337e+09,-nan,0
