A-dq

QoS,,RCV, DROP, DROP %,,AVG PK W, MAX PK W,,DIST PK WT:,0,1,2,3,4,5,6,7,8,9,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000
BE,,119926,1815,1.513,,51.2,159,,BE,29100,6539,5866,4935,4450,931,2383,3328,3795,3871,909,25958,23601,21017,19674,18178,19001,20099,18983,18605,44930
GU,,29926,0,0,,0.668,9,,GU,42456,19857,8498,2777,790,218,47,14,3,2,0
SN,,89691,0,0,,51.9,158,,SN,21594,4912,4348,3748,3340,755,1768,2542,2867,2927,657,19664,17743,15549,14625,13686,14667,15311,14315,13976,35585
sBE,,59912,456,0.761,,0.669,11,,sBE,84400,39918,16587,5647,1667,386,95,21,5,1,2,1


QoS,,RCV, DROP, DROP %,,AVG PK W, MAX PK W,,DIST PK WT:,0,10,50,100,500,1000,2000,3000,4000,5000
BE,,119926,1815,1.513,,51.2,159,,BE,29100,37007,90250,94866,44930
GU,,29926,0,0,,0.668,9,,GU,42456,32206
SN,,89691,0,0,,51.9,158,,SN,21594,27864,67581,71955,35585
sBE,,59912,456,0.761,,0.669,11,,sBE,84400,64329,1
