A-k

QoS,,RCV, DROP, DROP %,,AVG PK W, MAX PK W,,DIST PK WT:,0,1,2,3,4,5,6,7,8,9,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000
BE,,119708,1045,0.873,,47.1,371,,BE,20274,6753,6853,6086,5876,1386,3672,4798,5236,5346,1247,38448,30135,28844,24282,22425,19616,16568,10521,8574,23856,5749,640
GU,,29697,0,0,,0.38,8,,GU,55618,11844,4442,1586,448,132,27,4,1,0
SN,,89704,0,0,,46.9,379,,SN,16128,4985,4819,4532,4334,1073,2848,3621,3792,4033,998,29161,23087,21799,18295,16794,14726,12508,7994,6529,17648,4247,513
sBE,,59548,252,0.423,,0.843,17,,sBE,67709,49462,21275,7142,2065,479,117,20,4,3,2,2


QoS,,RCV, DROP, DROP %,,AVG PK W, MAX PK W,,DIST PK WT:,0,10,50,100,500,1000,2000,3000,4000,5000
BE,,119708,1045,0.873,,47.1,371,,BE,20274,47253,121709,77704,30245
GU,,29697,0,0,,0.38,8,,GU,55618,18484
SN,,89704,0,0,,46.9,379,,SN,16128,35035,92342,58551,22408
sBE,,59548,252,0.423,,0.843,17,,sBE,67709,80569,2
