A-dq

QoS,BE
SRC, DST,,SEND, DROP, DROP %,, DROPs
8,9,,162,0,0,,
9,1,,162,1,0.617284,,
9,2,,174,4,2.29885,,
9,3,,175,3,1.71429,,
9,4,,163,6,3.68098,,
9,5,,175,6,3.42857,,
9,6,,136,4,2.94118,,
9,7,,145,6,4.13793,,
9,8,,140,3,2.14286,,
QoS,sBE
SRC, DST,,SEND, DROP, DROP %,, DROPs
1,2,,116,0,0,,
1,3,,128,0,0,,
1,4,,102,0,0,,
1,5,,101,0,0,,
1,6,,90,1,1.11111,,
1,7,,91,0,0,,
1,8,,91,0,0,,
1,9,,129,0,0,,
2,1,,104,0,0,,
2,3,,118,0,0,,
2,4,,104,0,0,,
2,5,,117,0,0,,
2,6,,101,0,0,,
2,7,,105,1,0.952381,,
2,8,,92,0,0,,
2,9,,112,0,0,,
3,1,,104,0,0,,
3,2,,113,0,0,,
3,4,,117,0,0,,
3,5,,116,1,0.862069,,
3,6,,92,0,0,,
3,7,,111,0,0,,
3,8,,108,1,0.925926,,
3,9,,105,1,0.952381,,
4,1,,115,0,0,,
4,2,,113,0,0,,
4,3,,122,1,0.819672,,
4,5,,96,0,0,,
4,6,,109,1,0.917431,,
4,7,,127,0,0,,
4,8,,103,0,0,,
4,9,,109,0,0,,
5,1,,96,3,3.125,,
5,2,,131,3,2.29008,,
5,3,,107,1,0.934579,,
5,4,,115,1,0.869565,,
5,6,,102,0,0,,
5,7,,116,0,0,,
5,8,,109,0,0,,
5,9,,134,1,0.746269,,
6,1,,111,0,0,,
6,2,,124,2,1.6129,,
6,3,,96,4,4.16667,,
6,4,,74,1,1.35135,,
6,5,,96,0,0,,
6,7,,120,1,0.833333,,
6,8,,115,0,0,,
6,9,,98,0,0,,
7,1,,113,0,0,,
7,2,,91,0,0,,
7,3,,102,3,2.94118,,
7,4,,93,0,0,,
7,5,,115,0,0,,
7,6,,104,0,0,,
7,8,,96,0,0,,
7,9,,99,1,1.0101,,
8,1,,118,0,0,,
8,2,,116,0,0,,
8,3,,105,0,0,,
8,4,,133,0,0,,
8,5,,93,1,1.07527,,
8,6,,113,0,0,,
8,7,,107,1,0.934579,,
8,9,,117,0,0,,
9,1,,105,0,0,,
9,2,,108,0,0,,
9,3,,111,0,0,,
9,4,,83,1,1.20482,,
9,5,,108,0,0,,
9,6,,136,0,0,,
9,7,,123,0,0,,
9,8,,124,0,0,,
