A-k

QoS,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
BE,,119708,1045,0.872958,,1.00122,2.80985,4.78038,,2.454e-06,0.187148,0.882444
GU,,29697,0,0,,1.00125,2.52932,4.09565,,1.241e-06,0.00836739,0.0529957
SN,,89704,0,0,,1.00124,2.81583,4.76673,,2.287e-06,0.186827,0.885611
sBE,,59548,252,0.423188,,1.00129,2.5332,4.09742,,3.34e-07,0.00911344,0.0571509
