0	2
0	4
30	5
30	6
60	6
60	7
60	8
60	8
90	8
90	9
90	9
90	10
90	10
90	11
90	12
90	13
90	14
90	15
90	15
90	16
120	17
120	17
120	17
120	18
120	18
120	18
120	18
120	18
120	18
120	18
120	19
120	19
120	19
120	19
120	20
120	20
150	20
150	20
150	20
150	20
150	20
150	20
150	20
150	20
150	20
150	20
150	20
150	21
150	21
150	21
150	21
150	21
150	21
150	22
180	22
180	22
180	22
180	22
180	22
180	22
180	22
180	22
180	22
180	22
180	22
180	22
180	23
180	23
180	23
180	23
180	23
180	23
180	23
210	23
210	23
210	23
210	23
210	23
210	23
210	23
210	23
210	23
210	23
210	23
210	23
210	23
210	24
210	24
210	24
210	24
210	24
210	24
210	24
240	24
240	24
240	24
240	24
240	24
240	24
240	24
240	24
240	24
240	24
240	24
240	24
240	24
240	24
240	24
240	24
240	24
240	24
240	25
240	25
240	25
270	25
270	25
270	25
270	25
270	25
270	25
270	25
270	25
270	25
270	25
270	25
270	25
270	25
270	25
270	25
270	26
270	26
270	27
270	27
270	27
270	28
270	28
270	28
270	28
